"Location";"Status";"Authors";"Title";"Bibliographical reference";"Composition (year_from)";"Composition (year_to)";"First publication (year_from)";"First publication (year_to)";"Language";"Text";"Comment";"General reference";"Line reference";"Overlap/Similarity";"Modifications";"Marking for work";"Marking for author";"Genre";"Subject";"Narrative voice";"Textual functions";"Intertextual relations";"Source";"Bib. ref. source";"URL";"Internal comment";"Contributor"
" The lady protests too much, methinks.";"unedited";"John Marston";"What You Will";"247; act 2, scene 1 [normalized spelling].";"";"";"";"";"English";"[Quadratus:] [...] O this hot crackling love<br>
That blazeth on an instant, flames me out<br>
On the least puff of kindness, with <span class=""quote""> protest, protest! <br>
<i></span>Cazzo! </i>I dread <span class=""quote"">these hot protests,</span> that press [...].";"";"";"@001283_A01_D07 What You Will";"";"WoMo#006896 protest as a pretentious word";"Work unmarked";"Author unmarked";"";"";"Dialogue";"BODY OF TEXT";"";"";"@006090-61.";"[Quadratus:] [...] O this hote crackling love<br>
That blaseth on an instant, flames me out<br>
On the least puffe of kindnesse, with <span class=""quote""> protest, protest! <br>
<i></span>Catzo! </i>I dread <span class=""quote"">these hotte protests,</span> that presse [...].";"247; act 2, scene 1.";"  Hohl Regula"
" let to know it is.";"unedited";"Thomas Dekker";"Satiromastix, or The Untrussing of the Humorous Poet";"356; act 4, scene 2, lines 81-87 [normalized spelling].";"";"";"";"";"English";"[Tucca:] [...] I could make thine ears burn now, by dropping into them, all those hot oaths, to which, thyself gav'st voluntary fire, (<span class=""quote"">whe' thou wast the man in the Moon</span>) that thou wouldst never squib out any new <span class=""quote"">Salt-peter Jests </span>against honest Tucca, nor those Maligo-tasters, his<i> <span class=""quote"">Poetasters</span></i>; I could Cinocephalus, but I will not, yet thou knowst thou hast broke those oaths in print, my excellent infernal.";"";"";"@001304_A01_D02 Satiromastix, or the Untrussing...";"";"NaHu_NewWot#007019 Ben Jonson / NaBo@001296 Poetaster, or The Arraignment / NaBo@000794 Endymion, the Man in the Moon / WoTo#032512 Salt-peter";"Work title";"Author by context";"";"";"Dialogue";"BODY OF TEXT";"MQ_TYPOGRAPHY_Italics";"";"@006444-114.";"[Tucca:] [...] I could make thine eares burne now, by dropping into them, all those hot oathes, to which, thy selfe gau'st voluntarie fire, (<span class=""quote"">whe thou wast the man in the Moone</span>) that thou wouldst neuer squib out any new <span class=""quote"">Salt-peter Iestes </span>against honest Tucca, nor those Maligo-tasters, his<i> <span class=""quote"">Poetasters</span></i>; I could Cinocephalus, but I will not, yet thou knowst thou hast broke those oathes in print, my excellent infernall.";"356; act 4, scene 2, lines 81-87.";"Heeg Stefanie"
" let to know it is.";"unedited";"Thomas Dekker";"Satiromastix, or The Untrussing of the Humorous Poet";"362; act 4, scene 3, lines 92-97 [normalized spelling].";"";"";"";"";"English";"[Dicache:] That same Horace me thinks has<span class=""quote""> the most ungodly face</span>, by my Fan; <span class=""quote"">it looks for all the world, like a rotten russet Apple, when tis bruis'd: Its better then a spoonful of Cinnamon water next my heart</span>, for me to hear him speak; he sounds it so i'th nose, and talks and rands for all the world, like the poor fellow under Ludgate: oh fie upon him.<br>
[Miniver:]
By my troth sweet Ladies,<span class=""quote""> it's Cake and pudding to me, to see his face make faces, when he reads his Songs and Sonnets.</span>";"";"";"@001304_A01_D02 Satiromastix, or the Untrussing...";"";"NaHu_NewWot#007019 Ben Jonson / NaEp_NewPer_NewWot#032483 Horace = Ben Jonson / SuId_NewWot#032513 Ben Jonson&#039;s face";"Work unmarked";"Author epithet";"";"";"Dialogue";"BODY OF TEXT";"";"";"@006444-117.";"[Dicache:] That same Horace me thinkes has<span class=""quote""> the most vngodly face</span>, by my Fan; <span class=""quote"">it lookes for all the world, like a rotten russet Apple, when tis bruiz'd: Its better then a spoonefull of Sinamon water next my heart</span>, for me to heare him speake; hee soundes it so i'th nose, and talkes and randes for all the world, like the poore fellow vnder Ludgate: oh fye vpon him.<br>
[Miniver:]
By my troth sweet Ladies,<span class=""quote""> it's Cake and pudding to me, to see his face make faces, when hee reades his Songs and Sonnets.</span>";"362; act 4, scene 3, lines 92-97";"Heeg Stefanie"
" let to know it is.";"unedited";"Thomas Dekker";"Satiromastix, or The Untrussing of the Humorous Poet";"364; act 4,scene 3, lines 183-190 [normalized spelling].";"";"";"";"";"English";"[Horace:] Why, would you make me thus the ball of scorn?<br>
[Tucca:]
I'll tell thee why, because th'ast<span class=""quote""> entered Actions of assault and battery, against a company of honourable and worshipful Fathers of the law</span>: you wrangling rascal,<span class=""quote""> law is one of the pillars of land, and if thou be bound too't</span> (as I hope 
thou shalt be) thou't prove a skip-Jack, thou't be whipped. I'll tell thee why, because thy sputtering chaps yelp, that <span class=""quote"">Arrogance, and impudence, and Ignorance,</span> are the essential parts of a Courtier.";"";"";"@001304_A01_D02 Satiromastix, or the Untrussing...";"";"NaHu_NewWot#007019 Ben Jonson / NaEp_NewPer_NewWot#032483 Horace = Ben Jonson / SuId_NewWot#032514 Ben Jonson vs the law / WoTo_NewWot#032515 impudence + arrogance";"Work unmarked";"Author epithet";"";"";"Dialogue";"BODY OF TEXT";"";"";"@006444-120.";"[Horace:] Why, would you make me thus the ball of scorne?<br>
[Tucca:]
Ile tell thee why, because th'ast<span class=""quote""> entred Actions of assault and battery, against a companie of honourable and worshipfull Fathers of the law: you wrangling rascall, law is one of the pillers ath land, and if thou beest bound too't</span> (as I hope 
thou shalt bee) thou't prooue a skip-Iacke, thou't be whipt. Ile tell thee why, because thy sputtering chappes yelpe, that <span class=""quote"">Arrogance, and impudence, and Ignoraunce,</span> are the essentiall parts of a Courtier.";"364; act 4,scene 3, lines 183-190.";"Heeg Stefanie"
" let to know it is.";"unedited";"Thomas Dekker";"Satiromastix, or The Untrussing of the Humorous Poet";"365; act 4, scene 3, lines 194-210.";"";"";"";"";"English";"[Tucca:]
I'll tell thee why because thou criest ptrooh at worshipful Citizens, and call'st them Flat-caps, Cuckolds, and bankrupts, and modest and virtuous wives punks and cockatrices. I'll tell thee why, because <span class=""quote"">th'ast arraigned two Poets against all law and conscience</span>; and not content with that, hast turn'd them amongst<span class=""quote""> a company of horrible Black Friars.</span><br>

[Vaughan:]
The same hand still, it is your own another day, M. Horace, admonitions is good meat.<br>

[Tucca:]
Thou art the true <span class=""quote"">arraign'd Poet, and shouldst have been hang'd</span>, but for one of these part-takers, these charitable Copper-lac'd Christians, <span class=""quote""> that fetched thee out of Purgatory, (Players I mean) Theaterians pouch-mouth Stage-walkers</span>; for this Poet, for this, thou must lie with these four wenches, in that blanket, for this-<br>

[Horace:]

<span class=""quote"">What could I do, out of a just revenge, 
But bring them to the Stage? They envy me 
because I hold more worthy company.</span>";"";"";"@001304_A01_D02 Satiromastix, or the Untrussing...";"";"NaHu_NewWot#007019 Ben Jonson / NaVn_CulThe_NewWot#008035 LONDON_The Blackfriars / NaHu_NewWot#007020 John Marston / NaCo_CulThe_NewWot#009012 Children of the Chapel at the Blackfriars / NaHu_NewWot#007022 Thomas Dekker / NaEp_NewPer_NewWot#032483 Horace = Ben Jonson";"";"Author by context";"";"";"Dialogue";"BODY OF TEXT";"";"";"@006444-120.";"[Tucca:]
Ile tell thee why because thou cryest ptrooh at worshipfull Cittizens, and cal'st them Flat-caps, Cuckolds, and banckrupts, and modest and vertuous wiues punckes & cockatrices. Ile tell thee why, because <span class=""quote"">th'ast arraigned two Poets against all lawe and conscience</span>; and not content with that, hast turn'd them amongst<span class=""quote""> a company of horrible blacke Fyers.</span><br>

[Vaughan:]
The same hand still, it is your owne another day, M. Horace, admonitions is good meate.<br>

[Tucca:]
Thou art the true <span class=""quote"">arraign'd Poet, and shouldst haue been hang'd</span>, but for one of these part-takers, these charitable Copper-lac'd Christians, <span class=""quote""> that fetcht thee out of Purgatory, (Players I meane) Theaterians pouch-mouth Stage-walkers</span>; for this Poet, for this, thou must lye with these foure wenches, in that blancket, for this-<br>

[Horace:]

<span class=""quote"">What could I doe, out of a iust reuenge, 
But bring them to the Stage? they enuy me 
because I holde more worthy company.</span>";"365; act 4, scene 3, lines 194-210.";"Heeg Stefanie"
" let to know it is.";"unedited";"Thomas Dekker";"Satiromastix, or The Untrussing of the Humorous Poet";"365; act 4, scene 3, lines 211-227 [normalized spelling].";"";"";"";"";"English";"[Demetrius:] Good Horace, no;<span class=""quote""> my cheeks do blush for thine, <br>
As often as thou speakst so</span>, where one true <br>
And nobly-virtuous spirit, for thy best part <br>
Loves thee, I wish one ten, even from my heart. <br>
I make account I put up as deep share <br>
In any good man's love which thy worth earns, <br>
As thou thyself; <span class=""quote"">we envy not to see, <br>
Thy friends with Bays to crown thy Poesy. <br>
No, here the gall lies, we that know what stuff <br>
Thy very heart is made of;</span> know the stalk <br>
On which thy learning grows, and can give life <br>
To thy (once dying) baseness; <span class=""quote"">yet must we <br>
Dance Antiques on your Paper.</span><br>
[Horace:] Fannius.<br>
[Crispinus:] <span class=""quote"">This makes us angry, but not envious, <br>
No, were thy warped soul, put in a new mold, <br>
I'd wear thee as a Jewell set in gold.</span><br>
[Vaughan:]
And Jewels, Master Horace, must be hang'd you know.";"";"";"@001304_A01_D02 Satiromastix, or the Untrussing...";"";"NaHu_NewWot#007019 Ben Jonson / NaHu_NewWot#007020 John Marston / NaHu_NewWot#007022 Thomas Dekker / NaEp_NewPer_NewWot#004998 Crispinus = John Marston / NaEp_NewPer_NewWot#032483 Horace = Ben Jonson / NaEp_NewPer_NewWot#032484 Demetrius Fannius = Thomas Dekker / SuId_NewWot#032516 meta: using ancients for present";"";"Author epithet";"";"";"Dialogue";"BODY OF TEXT";"";"";"@006444-122.";"[Demetrius:] Good Horace, no;<span class=""quote""> my cheekes doe blush for thine, <br>
As often as thou speakst so</span>, where one true <br>
And nobly-vertuous spirit, for thy best part <br>
Loues thee, I wish one ten, euen from my heart. <br>
I make account I put vp as deepe share <br>
In any good mans loue which thy worth earnes, <br>
As thou thy selfe; <span class=""quote"">we enuy not to see, <br>
Thy friends with Bayes to crowne thy Poesie. <br>
No, heere the gall lyes, we that know what stuffe <br>
Thy verie heart is made of;</span> know the stalke <br>
On which thy learning growes, and can giue life <br>
To thy (once dying) basenes; yet must we <br>
Dance Antickes on your Paper.<br>
[Horace:] Fannius.<br>
[Crispinus:] <span class=""quote"">This makes vs angry, but not enuious, <br>
No, were thy warpt soule, put in a new molde, <br>
Ide weare thee as a Iewell set in golde.</span><br>
[Vaughan:]
And Iewels Master Horace, must be hang'd you know.";"365; act 4, scene 3, lines 211-227.";"Heeg Stefanie"
" let to know it is.";"unedited";"Thomas Dekker";"Satiromastix, or The Untrussing of the Humorous Poet";"376-77; act 5, scene 2, lines 113-124 [normalized spelling].";"";"";"";"";"English";"[Crispinus:] My Liege, to wed a Comical event, <br>
To presupposed tragic Argument: <br>
Vouchsafe to exercise your eyes, and see <br>
A humorous dreadful Poet take degree.<br>
[King:] Dreadful in his proportion or his pen?<br>
[Crispinus:] In both, <span class=""quote"">he calls himself the whip of men.</span><br>
[King:] If a clear merit stand upon his praise, <br>
Reach him a Poet's Crown (the honour'd Bays) <br>
But if he claim it, wanting right thereto, <br>
(As many bastard Sons of Poesy do) <br>
Race down his usurpation to the ground. <br>
<span class=""quote""><i>True Poets are with Art and Nature Crown'd. </i></span>";"";"";"@001304_A01_D02 Satiromastix, or the Untrussing...";"";"NaHu_NewWot#007019 Ben Jonson / NaEp_NewPer_NewWot#032483 Horace = Ben Jonson / SuMi_NewWot#032489 lashing with whip / WoKw_NewWot#032517 nature + art + poets";"";"Author epithet";"";"";"Dialogue";"BODY OF TEXT";"MQ_TYPOGRAPHY_Italics";"";"@006444-124.";"[Crispinus:] My Leige, to wed a Comicall euent, <br>
To presupposed tragicke Argument: <br>
Vouchsafe to exercise your eyes, and see <br>
A humorous dreadfull Poet take degree.<br>
[King:] Dreadfull in his proportion or his pen?<br>
[Crispinus:] In both, <span class=""quote"">he calles himselfe the whip of men.</span><br>
[King:] If a cleare merrit stand vpon his praise, <br>
Reach him a Poets Crowne (the honour'd Bayes) <br>
But if he claime it, wanting right thereto, <br>
(As many bastard Sonnes of Poesie doe) <br>
Race downe his vsurpation to the ground. <br>
<i>True Poets are with Arte and Nature Crown'd. </i>";"376-77; act 5, scene 2, lines 113-124.";"Heeg Stefanie"
" let to know it is.";"unedited";"William Shakespeare";"The Taming of the Shrew";"Act 1, scene 2, lines 201-205.";"";"";"";"";"English";"[Petruchio:] Why came I hither but to that intent?<br>
Think you a little din can daunt mine ears? <br>
Have I not in my time heard lions roar? <br>
Have I not heard the sea, puffed up with winds,<br>
Rage like <span class=""quote"">an angry boar chafèd </span>with sweat?";"";"";"@000916_A92_D23 The Taming of the Shrew";"";"WoTo#006900 chafed + boar";"Work unmarked";"Author unmarked";"";"";"Dialogue";"BODY OF TEXT";"";"";"@006277-21.";"";"";"  Hohl Regula"
" let to know it is.";"unedited";"William Shakespeare";"Venus and Adonis";"Lines 661-666.";"";"";"";"";"English";"And more than so, presenteth to mine eye <br>
The picture of <span class=""quote"">an angry chafing boar,</span><br>
Under whose sharp fangs on his back doth lie<br>
An image like thyself, all stained with gore,<br>
Whose blood upon the fresh flowers being shed<br>
Doth make them droop with grief and hang the head.";"";"";"";"";"WoTo#006900 chafed + boar";"Work unmarked";"Author unmarked";"";"";"Dialogue";"BODY OF TEXT";"";"";"@006277-21. ";"";"";"  Hohl Regula"
" let to know it is.";"unedited";"William Shakespeare";"Richard III";"Act 2, scene 3, line 13.";"";"";"";"";"English";"[Third citizen:] <span class=""quote"">Woe to that land that’s governed by a child.</span>";"";"";"@000950_A93_D23 Richard III";"";"SuId#006901 Woe to the land governed by a child";"Work unmarked";"Author unmarked";"";"";"Dialogue";"BODY OF TEXT";"";"";"@006113-196.";"";"";"  Hohl Regula"
