"Location";"Status";"Authors";"Title";"Bibliographical reference";"Composition (year_from)";"Composition (year_to)";"First publication (year_from)";"First publication (year_to)";"Language";"Text";"Comment";"General reference";"Line reference";"Overlap/Similarity";"Modifications";"Marking for work";"Marking for author";"Genre";"Subject";"Narrative voice";"Textual functions";"Intertextual relations";"Source";"Bib. ref. source";"URL";"Internal comment";"Contributor"
" Sailors, sir: they say they have letters for you.";"unedited";"Richard Brome";"human belongs to company";"";"1020";"1020";"";"";"English";"";"";"#009012 Lady Elizabeth's Men";"@000000 Placeholder book";"";"WoPa#000000 Placeholder lexia";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"   Hohl-Trillini Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"Robert Benfield";"human belongs to company";"";"1020";"1020";"";"";"English";"";"";"#009001 King's Men / #009012 Lady Elizabeth's Men";"@000000 Placeholder book";"";"WoPa#000000 Placeholder lexia";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"   Hohl-Trillini Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"Alexander Gough";"human belongs to company";"";"1020";"1020";"";"";"English";"";"";"#009001 King's Men";"@000000 Placeholder book";"";"WoPa#000000 Placeholder lexia";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"   Hohl-Trillini Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"Stephen Hammerton";"human belongs to company";"";"1020";"1020";"";"";"English";"";"";"#009001 King's Men";"@000000 Placeholder book";"";"WoPa#000000 Placeholder lexia";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"   Hohl-Trillini Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"William Barksted";"human belongs to company";"";"1020";"1020";"";"";"English";"";"";"#009010 Children of the Queen's Revels";"@000000 Placeholder book";"";"WoPa#000000 Placeholder lexia";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"   Hohl-Trillini Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"John Lowin";"human belongs to company";"";"1020";"1020";"";"";"English";"";"";"#009001 King's Men / #009019 Worcester's Men";"@000000 Placeholder book";"";"WoPa#000000 Placeholder lexia";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"   Hohl-Trillini Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"John Hemings";"human belongs to company";"";"1020";"1020";"";"";"English";"";"";"#009001 King's Men / #009020 Lord Strange's Men";"@000000 Placeholder book";"";"WoPa#000000 Placeholder lexia";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"   Hohl-Trillini Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"Richard Gunnell";"human belongs to company";"";"1020";"1020";"";"";"English";"";"";"#009003 Admiral's Men / #009017 Prince Charles' (Duke of York's) Men";"@000000 Placeholder book";"";"WoPa#000000 Placeholder lexia";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"   Hohl-Trillini Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"Robert Wilson";"human belongs to company";"";"1020";"1020";"";"";"English";"";"";"#009025 Leicester's Men";"@000000 Placeholder book";"";"WoPa#000000 Placeholder lexia";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"   Hohl-Trillini Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"Timothy Read";"human belongs to company";"";"1020";"1020";"";"";"English";"";"";"#009001 King's Men / #009009 Queen Henrietta's Men / #009026 King's Revels Company";"@000000 Placeholder book";"";"WoPa#000000 Placeholder lexia";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"   Hohl-Trillini Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"Richard Perkins";"human belongs to company";"";"1020";"1020";"";"";"English";"";"";"#009001 King's Men / #009009 Queen Henrietta's Men / #009014 Queen Anne's Men";"@000000 Placeholder book";"";"WoPa#000000 Placeholder lexia";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"   Hohl-Trillini Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"William Robbins";"human belongs to company";"";"1020";"1020";"";"";"English";"";"";"#009001 King's Men / #009009 Queen Henrietta's Men / #009014 Queen Anne's Men";"@000000 Placeholder book";"";"WoPa#000000 Placeholder lexia";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"   Hohl-Trillini Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"William Allen";"human belongs to company";"";"1020";"1020";"";"";"English";"";"";"#009001 King's Men / #009009 Queen Henrietta's Men";"@000000 Placeholder book";"";"WoPa#000000 Placeholder lexia";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"   Hohl-Trillini Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"Anthony Turner";"human belongs to company";"";"1020";"1020";"";"";"English";"";"";"#009009 Queen Henrietta's Men";"@000000 Placeholder book";"";"WoPa#000000 Placeholder lexia";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"   Hohl-Trillini Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"John Sinklo";"human belongs to company";"";"1020";"1020";"";"";"English";"";"";"#009001 King's Men / #009002 Lord Chamberlain's (Lord Hunsdon's) Men / #009008 Pembroke's Men / #009020 Lord Strange's Men";"";"";"";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"   Hohl-Trillini Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"Richard Sharpe";"human belongs to company";"";"1020";"1020";"";"";"English";"";"";"#009001 King's Men";"@000000 Placeholder book";"";"WoPa#000000 Placeholder lexia";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"   Hohl-Trillini Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"Richard Burbage";"human belongs to company";"";"1020";"1020";"";"";"English";"";"";"#009001 King's Men / #009002 Lord Chamberlain's (Lord Hunsdon's) Men / #009003 Admiral's Men / #009008 Pembroke's Men / #009020 Lord Strange's Men";"@000000 Placeholder book";"";"WoPa#000000 Placeholder lexia";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"   Hohl-Trillini Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"Henry Condell";"human belongs to company";"";"1020";"1020";"";"";"English";"";"";"#009001 King's Men";"@000000 Placeholder book";"";"WoPa#000000 Placeholder lexia";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"   Hohl-Trillini Regula"
" Sailors, sir: they say they have letters for you.";"unedited";"William Kempe";"human belongs to company";"";"1020";"1020";"";"";"English";"";"";"#009001 King's Men / #009020 Lord Strange's Men";"@000000 Placeholder book";"";"WoPa#000000 Placeholder lexia";"";"Author unmarked";"";"";"";"";"";"";"";"";"";"   Hohl-Trillini Regula"
