"Location";"Status";"Authors";"Title";"Bibliographical reference";"Composition (year_from)";"Composition (year_to)";"First publication (year_from)";"First publication (year_to)";"Language";"Text";"Comment";"General reference";"Line reference";"Overlap/Similarity";"Modifications";"Marking for work";"Marking for author";"Genre";"Subject";"Narrative voice";"Textual functions";"Intertextual relations";"Source";"Bib. ref. source";"URL";"Internal comment";"Contributor"
" God bless you, sir.";"unedited";"Robert Dodsley";"A Select Collection of Old Plays";"Dodsley, Robert,  ed. A Select Collection of Old Plays in Twelve Volumes. London: Septimus Prowett, 1825.";"1744";"1744";"1744";"1744";"English";"@006257 SEC ";"";"";"@006257 SEC -  A Select Collection of Old Plays";"";"";"";"Author unmarked";"Annotated edition";"";"";"";"";"";"";"";"";" Heeg Stefanie"
" God bless you, sir.";"unedited";"Thomas Newton";"Paradise Lost (Newton Edition)";"Newton, Thomas,  ed. Paradise Lost: A Poem in Twelve Books. A New Edition with Notes of Various Authors. 2 vols. London: J. and R. Tonson et al., 1749.";"1749";"1749";"1749";"1749";"English";"@010128 SEC";"";"";"@010128 SEC - Paradise Lost (Newton edition)";"";"";"";"Author unmarked";"Annotated edition";"Literature";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Richard Hurd";"Q. Horatii Flacci epistola ad Augustum";"Hurd, Richard,  ed. Q. Horatii Flacci epistola ad Augustum. With an English commentary and notes. To which is added, a discourse concerning poetical imitation [...]. London: W. Thurlbourn and R. Dodsley, 1751.";"1751";"1751";"1751";"1751";"English";"@005246 SEC";"";"";"@005246 SEC - Q Horatii Flacci epistola ad Augustum";"";"";"";"Author unmarked";"Annotated edition";"Classical Studies";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Thomas Percy";"Reliques of Ancient English Poetry";"Percy, Thomas,  ed. Reliques of Ancient English Poetry. Consisting of Old Heroic Ballads, Songs, and other Pieces of our earlier Poets, (Chiefly of the Lyric kind.) Together with some few of later Date. Second Edition. London: J. Dodsley, 1767.";"1767";"1767";"1767";"1767";"English";"@005196 SEC";"";"";"@005196 SEC - Reliques of Ancient English Poetry";"";"";"";"Author unmarked";"Annotated edition";"Literature";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"_ 0_Anon";"The Annual Register";"Anon.  The Annual Register. Or, A View of the History, Politics, and Literature, for the Year 1767. London: J. Dodsley, 1779.";"1779";"1779";"1779";"1779";"English";"@010089 SEC";"";"";"@010089 SEC - The Annual Register";"";"";"";"Author unmarked";"Nonfiction unspecified";"";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Zachary Grey";"Hudibras (Grey edition)";"Grey, Zachary,  ed. Hudibras, in three parts, Written in the Tome of the late Wars, by Samuel Butler, Esq. with large annotations and a preface by Zachary Grey, LL. D. 2 vols. Edinburgh: Bell and Murray, 1779.";"1779";"1779";"1779";"1779";"English";"@010097 SEC";"";"";"@010097 SEC - Hudibras (Grey edition)";"";"";"";"Author unmarked";"Annotated edition";"Literature";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Thomas Warton";"Poems Upon Several Occasions";"Warton, Thomas,  ed. Poems upon several occasions. English, Italian and Latin, with translations, by John Milton [...]. With Notes, critical and explanatory, and other illustrations. London: James Dodsley, 1785.";"1785";"1785";"1785";"1785";"English";"@010129 SEC";"";"";"@010129 SEC - Poems Upon Several Occasions";"";"";"";"Author unmarked";"Annotated edition";"Literature";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Walter Whiter";"A Specimen of a Commentary on Shakespeare";"Whiter, Walter.  A Specimen of a Commentary on Shakespeare: being the text of the first (1794) edition revised by the author and never previously published. Eds. Alan Over and Mary Bell. 2nd ed. London: Methuen, 1967.";"1794";"1794";"1794";"1794";"English";"@010145 SEC more entries, more Marston entries index";"";"";"@010145 SEC - Specimen of a Commentary ";"";"";"";"Author unmarked";"Academic";"Shakespeare";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"John Rutherford";"Cicero's Orations (Rutherford edition)";"Rutherford, John,  ed. and trans. Cicero's orations, translated into English, with notes, historical, critical, and explanatory. London: T. Cadell and W. Davies, 1799.";"1799";"1799";"1799";"1799";"English";"@006318 SEC";"";"";"@006318 SEC - Cicero's Orations";"";"";"";"Author unmarked";"Annotated edition";"Classical Studies";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Charles Dunster";"Paradise Regained (Dunster edition)";"Dunster, Charles,  ed. Paradise Regained, a Poem by John Milton. With Notes of Various Authors. London: George Stafford, 1800.";"1800";"1800";"1800";"1800";"English";"@010039 SEC";"";"";"@010039 SEC - Paradise Regained (Dunster edition)";"";"";"";"Author unmarked";"Annotated edition";"Literature";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Henry John Todd";"The Poetical Works of John Milton (Todd edition)";"Todd, Henry John,  ed. The Poetical Works of John Milton. 6 vols. London: Johnson et al., 1801.";"1801";"1801";"1801";"1801";"English";"@010130 SEC ";"";"";"@010130 SEC -  The Poetical Works of John Milton (Todd)";"";"";"";"Author unmarked";"Annotated edition";"Literature";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Charles Wentworth Dilke";"Old Plays, being a Continuation of Dodsley's Collection";"Dilke, Chalres Wentworth,  ed. Old Plays; being a Continuation of Dodsley's Collection, with Notes Critical and Explanatory. 6 vols. London: Rodwell and Martin, 1816.";"1816";"1816";"1816";"";"English";"@006287 SEC";"";"";"@006287 SEC - Old Plays, A Continuation of Dodsley&#039;s Collec";"";"";"";"Author unmarked";"Annotated edition";"Literature";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Edmond Malone";"Plays and Poems of William Shakespeare";"Malone, Edmond.  The plays and poems of William Shakespeare, with the corrections and illustrations of various commentators : comprehending a life of the poet, and an enlarged history of the stage, by the late Edmond Malone, with a new glossarial index. London, F.C. and J Rivington 1821.";"1821";"1821";"1821";"1821";"English";"@010156 SEC";"";"";"@010156 SEC - Plays and Poems of William Shakespeare (Malone)";"";"";"";"Author unmarked";"Annotated edition";"Shakespeare";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"John Payne Collier";"Farther Particulars regarding Shakespeare and His Works";"Collier, John Payne.  Farther Particulars regarding Shakespeare and His Works. In A Letter to The Rev. Joseph Hunter, F.S.A. [...] London: Thomas Rodd, 1839.";"1839";"1839";"1839";"1839";"English";"@010100 SEC";"";"";"@010100 SEC - Farther Particulars Regarding Shakespeare";"";"";"";"Author unmarked";"Academic";"Shakespeare";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"John Payne Collier";"Memoirs of the Principal Actors of Shakespeare";"Collier, John Payne.  Memoirs of the Principal Actors of Shakespeare. London: Shakespeare Society, 1846.";"1846";"1846";"1846";"1846";"English";"@010146 SEC";"";"";"@010146 SEC - Memoirs of the Principal Actors of Shakespeare";"";"";"";"Author unmarked";"Academic";"Shakespeare";"";"";"";"";"";"";"";"  Hohl Regula"
" God bless you, sir.";"unedited";"Charles Wordsworth";"Shakespeares Knowledge and Use of the Bible";"Wordsworth, Charles.  Shakespeare's Knowledge and Use of the Bible. London: Smith, Elder and Co., 1864.";"1864";"1864";"1864";"1864";"English";"@006225 SEC";"";"";"@006225 SEC - Shakespeare's Knowledge and Use of the Bible";"";"";"";"Author unmarked";"Academic";"Shakespeare";"";"";"";"";"";"";"";"  Hohl Regula"
