"Location";"Status";"Authors";"Title";"Bibliographical reference";"Composition (year_from)";"Composition (year_to)";"First publication (year_from)";"First publication (year_to)";"Language";"Text";"Comment";"General reference";"Line reference";"Overlap/Similarity";"Modifications";"Marking for work";"Marking for author";"Genre";"Subject";"Narrative voice";"Textual functions";"Intertextual relations";"Source";"Bib. ref. source";"URL";"Internal comment";"Contributor"
" How should I your true love know";"provisional";"_ 0_Anon";"The Walsingham Song";"Anon.  ""The Walsingham Song."" Manuscript in the Huntigton Library quoted from F. W. Sternfeld. 'Ophelia's Version of the Walsingham Song.' Music and Letters 45:2 (April 1964): 108-113.  108.";"1300";"1550";"1300";"1550";"English";"I. ""As you came from that holy land<br>
Of Walsingham,<br>
Met you not with my true love<br>
By the way as you came?""<br>
II. <span class=""quote"">""How should I, Sir, your true love know,<br></span>
That have met many a one<br>
As I came from that holy land,<br>
That have come, that have gone?""";"";"";"@005578 BALLAD";"";"#000671 true love know how";"Unmarked";"Unmarked";"Song or ballad";"";"1st-person narrator";"Body of text";"Local reference";"Shakespeare Studies / Annotated Shakespeare edition";"@010069/@010082/@010151
Sternfeld, F. W.  ""Ophelia's Version of the Walsingham Song."" Music and Letters 45:2 (April 1964): 108-113.  108.<br>
Shakespeare, William.  Hamlet. The Oxford Shakespeare. Ed. G. R. Hibbard. Oxford and New York: Oxford University Press, 1994.<br>
Anders, H. R. D.  Shakespeare's Books. Berlin: Georg Reimer, 1904.  186.";"";"";"  Hohl Trillini Regula"
" The pith and marrow of our attribute.";"provisional";"William Tyndale";"An Answer to Sir Thomas More's Dialogue";"Tyndale, William.  An answere vnto Sir Thomas Mores dialoge made by Vvillyam Tindale. First he declareth what the church is, and geveth a reason of certayne wordes which Master More rebuketh in the tra[n]slacion of the newe Testament. After that he answereth particularlye vnto everye chaptre which semeth to haue anye apperaunce of truth thorow all his .iiij. bokes Antwerp: S. Cock, 1531.  N.p. [normalized spelling].";"1531";"1531";"1531";"1531";"English";"[...] <span class=""quote"">pith and marrow</span> [...].";"";"";"@005561 An Answer to Sir Thomas Mores Dialogue";"2-word phrase";"#000339 pith and marrow";"Unmarked";"Unmarked";"Bible or religious pamphlet";"Philosophy, religion  / tbe";"";"Body of text";"Local reference";"Electronic search (HyperHamlet Team)";"@010048
EEBO";"[...] <span class=""quote"">pith and mary</span> [...].";"Tyndale, William.  An answere vnto Sir Thomas Mores dialoge made by Vvillyam Tindale. First he declareth what the church is, and geveth a reason of certayne wordes which Master More rebuketh in the tra[n]slacion of the newe Testament. After that he answereth particularlye vnto everye chaptre which semeth to haue anye apperaunce of truth thorow all his .iiij. bokes Antwerp: S. Cock, 1531.  N.p.";"  Hohl Trillini Regula"
" So I do still, by these pickers and stealers.";"provisional";"Thomas Cranmer";"The Book of Common Prayer";"Thomas Cranmer,   ed. ""The Book of Common Prayer."" The booke of the common prayer and administracion of the sacramentes : and other rites and ceremonies of the Churche : after the vse of the Churche of England. London: Edouardi Whitechurche 1549.  326 [normalized spelling].

Others are quoted from this: Anon.  The booke of common prayer, and administration of the sacramentes and other rites and ceremonies in the Churche of England. London: Richardi Iugge and Iohannis Cavvood, 1562.  ";"1549";"1549";"1549";"1549";"English";"Keep my hands from <span class=""quote"">picking and stealing, </span>and my tongue from evil speaking, lying and slandering.";"all 4 book of common prayer entries should from the same edition Cranmer?!!";"";"@005583 Book of Common Prayer";"2 keywords";"#000247 picking and stealing";"Unmarked";"Unmarked";"Bible or religious pamphlet";"Philosophy, religion  / tbe / QUESTION?!!! / need to fix biblio and normalised title after transfer";"";"Body of text";"Local reference";"Shakespeare Studies";"@010030
Shaheen, Naseeb.  Biblical References in Shakespeare's Tragedies. Newark: University of Delaware Press, 1987. ";"Kepe my handes from <span class=""quote"">picking and stealing, </span>and my tongue from evill speaking, lying and slandring.";"Thomas Cranmer,  ed. The booke of the common prayer and administracion of the sacramentes : and other rites and ceremonies of the Churche : after the vse of the Churche of England. London: Edouardi Whitechurche 1549.  326.";"  Hohl Trillini Regula"
" I should be greeted, if not from Lord Hamlet.";"provisional";"_ 0_Anon";"The Book of Common Prayer";"Anon.  ""The Book of Common Prayer."" The Book of Common Prayer. Quoted in: Naseeb Shaheen. Biblical References in Shakespeare's Tragedies. Newark: University of Delaware Press, 1987.  N.p. [normalized spelling].";"1550";"1550";"1550";"1550";"English";"[...] <span class=""quote"">delivered from the burden of the flesh </span>[...] </span class=""quote"">in joy and felicity.</span>";"edition book of common prayer?";"";"@005583 Book of Common Prayer";"idea with keyword(s)";"#002169 felicity";"Unmarked";"Unmarked";"Bible or religious pamphlet";"Philosophy, religion  / tbe / QUESTION?!!! / need to fix biblio and normalised title after transfer";"";"Body of text";"Local reference";"Shakespeare Studies";"@010030
Shaheen, Naseeb. Biblical References in Shakespeare's Tragedies. Newark: University of Delaware Press, 1987. ";"[...] deliuered from the burden of the flesh [...] in ioy and felicitie";"Anon.  The Book of Common Prayer. Quoted in: Naseeb Shaheen. Biblical References in Shakespeare's Tragedies. Newark: University of Delaware Press, 1987.  N.p.";"  Hohl Trillini Regula"
" truepenny?";"provisional";"Nicholas Udall";"Roister Doister";"Udall, Nicholas.  Ralph Roister Doister. Ed. Walter Wilson Greg. London: Malone Society, 1935. Quoted in: Sayre Greenfield. ""Quoting Hamlet in the Early Seventeenth Century."" Modern Philology 105.3 (2008) 510-534.";"1552";"1552";"1552";"1552";"English";"<span class=""quote"">Truepenny</span>";"A character's name in a comedy.";"Unknown / Unknown, London";"@000234 Roister Doister";"1 keyword";"#000038 CHARACTER - Truepenny";"Unmarked";"Unmarked";"Theatre";"";"Dialogue";"Name";"Local reference";"Shakespeare Studies";"@010005
Greenfield, Sayre. ""Quoting Hamlet in the Early Seventeenth Century."" Modern Philology 105.3 (2008): 510-534.";"<span class=""quote"">Truepenie</span>";"";"  Hohl Trillini Regula"
" Good my lord, put your discourse into some frame and";"provisional";"Thomas Wilson";"The Art of Rhetoric";"Wilson, Thomas.  ""the Art of Rhetoric."" The arte of rhetorique for the vse of all suche as are studious of eloquence, sette forth in English, by Thomas Wilson. London: Richard Grafton, 1553.  A2 recto [normalized spelling].";"1553";"1553";"1553";"1553";"English";"Then his sentences must be <span class=""quote"">well framed </span>and his words aptly used <span class=""quote"">through the whole discourse of his Oracion.</span>";"";"";"@005577 The Art of Rhetoric";"idea with keyword(s)";"#002107 framed discourse";"Unmarked";"Unmarked";"Not specified";"Linguistics / need to fix biblio and normalised title after transfer";"";"Body of text";"Local reference";"Shakespeare Studies";"@010152
Baldwin, Thomas Whitfield. William Shakspere's Small Latine and Lesse Greeke. 2 vols. Urbana: University of Illinois Press, 1944. ";"Then his sentences must be <span class=""quote"">wel framed </span>and his wordes aptly used <span class=""quote"">through the whole discourse of his Oracion.</span>";"Wilson, Thomas.  The arte of rhetorique for the vse of all suche as are studious of eloquence, sette forth in English, by Thomas Wilson. London: Richard Grafton, 1553.  A2 recto.";"  Hohl Trillini Regula"
" The undiscover'd country from whose bourn";"unedited";"John Dolman / Marcus Tullius zzzCicero";"Those Five Questions (Tusculanae)";"Dolman, John.  ""Those Five Questions (Tusculanae)."" Those fyue questions, which Marke Tullye Cicero, disputed in his manor of Tusculanum: written afterwardes by him, in as manye bookes, to his frende, and familiar Brutus, in the Latine tounge. And nowe, oute of the same translated, & englished, by Iohn Dolman, studente and felowe of the Inner Temple. London: Thomas Marsh, 1561.";"1561";"1561";"1561";"1561";"English";"Vickers nonpubl CiceroDolman ""if my sense shall be extinct, and my death resemble sleep, which often without any trouble of dreams, doth bring a man most quiet rest, (O Lorde) what pleasure shall death be to me!"" (1.41.97; Sig. G6r). If it be true, Socrates continues, ""that death is a departure into these regions, which all they inhabite, that are departed out of this life"", then ""this ought to seem a sweet pilgrimage"" (1.41.98; Sig. G6r-v). Cicero reiterated these sentiments, wishing “that either men would hereafter desire death, ot at the least wise, cease to fear it. For if at the last day of our life, our souls die not, but only change their place, what ought we more to wish? But if death do utterly destroy us, what can be better, than in the rage of great storms, sweetly to slumber? and after that a man hath nodded out of this life, to sleep everlastingly.(1.49.117; Sig. H8r) The parallels [...] link up with Hamlet's later metaphor of death as ""The undiscover'd country, from whose bourn / No traveller returns"".";"";"";"@005570 Those Five Questions";"image";"#000082 IMAGE - undiscovered country";"Unmarked";"Unmarked";"Not specified";"need to fix biblio and normalised title after transfer";"";"Body of text";"Local reference";"Shakespeare Studies";"@010043";"Vickers nonpubl CiceroDolman ""yf my sense shall be extyncte, and my death resemble sleepe, whyche often wythout anye trouble of dreames, doth brynge a man most quiete reste, (O Lorde) what pleasure shal death be to me!"" (1.41.97; Sig. G6r). If it be true, Socrates continues, ""that death is a departure into these regions, which all they inhabite, that are departed out of this life"", then ""this oughte to seem a sweete pilgrymage"" (1.41.98; Sig. G6r-v). Cicero reiterated these sentiments, wishing “that either men would hreafter desyre death, ot at the least wise, cease to feare it. For if at the last daye of our life, our soules dye not, but onely chaunge their place, what ought we more to wyshe? But if death do utterly destroye us, what can be better, than in the rage of great stormes, swetely to slumber? and after that a man hath nodded out of this life, to sleepe everlastingly.W (1.49.117; Sig. H8r) The parallels [...] link up with Hamlet's later metaphor of death as ""The undiscover'd country, from whose bourn / No traveller returns"".";"";"  Hohl Trillini Regula"
" To be, or not to be: that is the question:";"provisional";"John Dolman / Marcus Tullius zzzCicero";"Those Five Questions (Tusculanae)";"Dolman, John.  ""Those Five Questions (Tusculanae)."" Those fyue questions, which Marke Tullye Cicero, disputed in his manor of Tusculanum: written afterwardes by him, in as manye bookes, to his frende, and familiar Brutus, in the Latine tounge. And nowe, oute of the same translated, & englished, by Iohn Dolman, studente and felowe of the Inner Temple. London: Thomas Marsh, 1561.  B6 verso [normalized spelling].";"1561";"1561";"1561";"1561";"English";"Perchance I have not told you all that I think; for <span class=""quote"">not to be when you have been, </span>I think is the greatest misery that may be. ";"A translation of Marcus Tullius Cicero's ""Tusculans"".";"";"@005570 Those Five Questions";"to be or not to be";"#000141 to be or not to be";"Unmarked";"Unmarked";"Not specified";"Philosophy, religion  / need to fix biblio and normalised title after transfer";"";"Body of text";"Local reference";"Shakespeare Studies";"@010043/@010042

Vickers, Brian. ""Hamlet and Cicero."" Unpublished manuscript article. <br>
Velz, John V. Shakespeare and the Classical Tradition: A Critical Guide to Commentary, 1660-1960. Minneapolis: University of Minnesota Press, 1968.";"Perchaunce I have not tolde you all that I thinke; for <span class=""quote"">not to be when you have bene, </span>I thinke is the greatest misery that may be. ";"Dolman, John.  Those fyue questions, which Marke Tullye Cicero, disputed in his manor of Tusculanum: written afterwardes by him, in as manye bookes, to his frende, and familiar Brutus, in the Latine tounge. And nowe, oute of the same translated, & englished, by Iohn Dolman, studente and felowe of the Inner Temple. London: Thomas Marsh, 1561.  B6 verso.";"  Hohl Trillini Regula"
" To be, or not to be: that is the question:";"provisional";"John Dolman / Marcus Tullius zzzCicero";"Those Five Questions (Tusculanae)";"Dolman, John.  ""Those Five Questions (Tusculanae)."" Those fyue questions, which Marke Tullye Cicero, disputed in his manor of Tusculanum: written afterwardes by him, in as manye bookes, to his frende, and familiar Brutus, in the Latine tounge. And nowe, oute of the same translated, & englished, by Iohn Dolman, studente and felowe of the Inner Temple. London: Thomas Marsh, 1561.  B7 recto [normalized spelling]. ";"1561";"1561";"1561";"1561";"English";"[...] <span class=""quote"">they be not as they have been</span> [...].";"";"";"@005570 Those Five Questions";"to be or not to be";"#000141 to be or not to be";"Unmarked";"Unmarked";"Not specified";"Philosophy, religion  / need to fix biblio and normalised title after transfer";"";"Body of text";"Local reference";"Shakespeare Studies";"@010042/@010043

Vickers, Brian. ""Hamlet and Cicero."" Unpublished manuscript.<br>
Velz, John V. Shakespeare and the Classical Tradition: A Critical Guide to Commentary, 1660-1960. Minneapolis: University of Minnesota Press, 1968.";"[...] <span class=""quote"">they be not as they have bene</span> [...].";"Dolman, John.  Those fyue questions, which Marke Tullye Cicero, disputed in his manor of Tusculanum: written afterwardes by him, in as manye bookes, to his frende, and familiar Brutus, in the Latine tounge. And nowe, oute of the same translated, & englished, by Iohn Dolman, studente and felowe of the Inner Temple. London: Thomas Marsh, 1561.  B7 recto. ";"  Hohl Trillini Regula"
" To be, or not to be: that is the question:";"provisional";"John Dolman / Marcus Tullius zzzCicero";"Those Five Questions (Tusculanae)";"Dolman, John.  ""Those Five Questions (Tusculanae)."" Those fyue questions, which Marke Tullye Cicero, disputed in his manor of Tusculanum: written afterwardes by him, in as manye bookes, to his frende, and familiar Brutus, in the Latine tounge. And nowe, oute of the same translated, & englished, by Iohn Dolman, studente and felowe of the Inner Temple. London: Thomas Marsh, 1561.  B7 verso.";"1561";"1561";"1561";"1561";"English";"[...] whatsoever you do so pronounce must not <span class=""quote"">either be or not be.</span>";"A translation of Marcus Tullius Cicero's treatise <i>Tusculanae Quaestiones </i>.";"";"@005570 Those Five Questions";"to be or not to be";"#000141 to be or not to be";"Unmarked";"Unmarked";"Not specified";"Philosophy, religion  / need to fix biblio and normalised title after transfer";"";"Body of text";"Local reference";"Shakespeare Studies";"@010043/@010042

Vickers, Brian. ""Hamlet and Cicero."" Unpublished manuscript.<br>
Velz, John W. Shakespeare and the Classical Tradition: A Critical Guide to Commentary, 1660-1960. Minneapolis: University of Minnesota Press, 1968.";"";"";"  Hohl Trillini Regula"
