"Location";"Status";"Authors";"Title";"Bibliographical reference";"Composition (year_from)";"Composition (year_to)";"First publication (year_from)";"First publication (year_to)";"Language";"Text";"Comment";"General reference";"Line reference";"Overlap/Similarity";"Modifications";"Marking for work";"Marking for author";"Genre";"Subject";"Narrative voice";"Textual functions";"Intertextual relations";"Source";"Bib. ref. source";"URL";"Internal comment";"Contributor"
" He shall, sir, an't please him. There's a letter for";"provisional";"Thomas, Lord Vaux";"The Aged Lover Renounceth Love";"Vaux, Thomas, Lord.  ""The Aged Lover Renounceth Love."" Songes and Sonettes. London: Henry Tottel, 1557. A Scolar Press Facsimile. Leeds: Scolar Press, 1966.  N. p.; stanza 1, lines 1-4. ";"1557";"1557";"1557";"1557";"English";"<span class=""quote"">I loathe that I did love,<br>
In youth that I thought sweet;<br>
As time requires for my behove,<br>
Me thinks they are not meet.</span>";"The date of composition is being researched. The gravedigger's song is a ""parody of a song in Tottel’s Miscellany, generally attributed to Lord Vaux. [...] selected the three most melancholious verses of this song, which is a lengthy and curious rendering on lyric form of the old morality reading of everyman’s life."" Cf. George Kitchin. A Survey of Burlesques and Parody in English. Edinburgh: Oliver and Boyd, 1931. 48-49. ";"";"@005657 Songs and Sonnets";"setpiece";"#002170 love seemed sweet";"Unmarked";"Unmarked";"Not defined";"tbe";"1st-person narrator";"Body of text";"Local reference";"Literary and cultural studies (Shakespeare) / Literary and Cultural Studies / Annotated edition (Shakespeare)";"@010028/@010082/@010151/@010026

Tulloch, Graham. The Language of Sir Walter Scott: A Study of His Scottish and Period Language. London: Andre Deutsch, 1980.<br>

Shakespeare, William. Hamlet. The Oxford Shakespeare. Ed. G. R. Hibbard. Oxford and New York: Oxford University Press, 1994.<br>

Anders, H. R. D. Shakespeare's Books. Berlin: Georg Reimer, 1904.<br>

Kitchin, George. A Survey of Burlesques and Parody in English. Edinburgh: Oliver and Boyd, 1931.";"";"";"Gebhard Christian"
" He shall, sir, an't please him. There's a letter for";"provisional";"Thomas, Lord Vaux";"The Aged Lover Renounceth Love";"Vaux, Thomas, Lord.  ""The Aged Lover Renounceth Love."" Songes and Sonettes. London: Henry Tottel, 1557. A Scolar Press Facsimile. Leeds: Scolar Press, 1966.  N. p.; stanza 3, lines 9-12.";"1557";"1557";"1557";"1557";"English";"<span class=""quote"">For age, with stealing steps,<br>
Hath clawed me with his crutch,<br>
And lusty life away she leaps<br>
As there had been none such.</span>";"The date of composition is being researched. The gravedigger's song is a ""parody of a song in Tottel’s Miscellany, generally attributed to Lord Vaux. [… 49] selected the three most melancholious verses of this song, which is a lengthy and curious rendering on lyric form of the old morality reading of everyman’s life."" Cf. George Kitchin. A Survey of Burlesques and Parody in English. Edinburgh: Oliver and Boyd, 1931.48-49. ";"";"@005657 Songs and Sonnets";"setpiece";"#002171 for age with stealing steps";"Unmarked";"Unmarked";"Not defined";"tbe";"1st-person narrator";"Body of text";"Local reference";"Literary and cultural studies (Shakespeare) / Literary and Cultural Studies / Annotated edition (Shakespeare)";"@010028/@010082/@010076/@010026

Tulloch, Graham. The Language of Sir Walter Scott: A Study of His Scottish and Period Language. London: Andre Deutsch, 1980.<br>
Shakespeare, William. Hamlet. The Oxford Shakespeare. Ed. G. R. Hibbard. Oxford and New York: Oxford University Press, 1994.<br>
Anders, H. R. D. Shakespeare's Books. Berlin: Georg Reimer, 1904.<br>
Kitchin, George. A Survey of Burlesques and Parody in English. Edinburgh: Oliver and Boyd, 1931.";"";"";"Gebhard Christian"
" He shall, sir, an't please him. There's a letter for";"unedited";"Christopher Marlowe / Thomas Nashe";"Dido, Queen of Carthage";"Marlowe, Christopher and Thomas Nashe.  ""Dido, Queen of Carthage."" The Complete Plays. Ed. J. B. Steane. London: Penguin 1986. 41-99.  46; act 1, scene 1, lines 51-54.";"1588";"1588";"1588";"1588";"English";"[Venus:] [...] And playing with <span class=""quote"">that female wanton boy, </span><br>
Whiles my Æneas wanders on the seas, <br>
And rests a prey to every <span class=""quote"">billow's </span>pride.";"";"";"@000820 Dido, Queen of Carthage";"pending";"#002047 wanton boy or wind and billow";"Unmarked";"Unmarked";"Theatre";"";"Dialogue";"Body of text";"Local reference";"Literary and Cultural Studies";"@010029-36.
Murphy, Donna N.  The Marlowe Shakespeare Continuum: Christopher Marlowe, Thomas Nashe, and Authorship of Early Shakespeare and Anonymous Plays. Newcastle, 2013.  36.";"";"";" Heeg Stefanie"
" He shall, sir, an't please him. There's a letter for";"unedited";"Christopher Marlowe / Thomas Nashe";"Dido, Queen of Carthage";"Marlowe, Christopher and Thomas Nashe.  ""Dido, Queen of Carthage."" The Complete Plays. Ed. J. B. Steane. London: Penguin 1986. 41-99.  48;  act 1, scene 1, lines 104-106.";"1588";"1588";"1588";"1588";"English";"[Jupiter:] [...] To feed her eyes <span class=""quote"">with his engraven fame. </span><br>
Thus, in stout Hector's race, three hundred years,<br> 
The Roman scepter royal shall remain [...].";"";"";"@000820 Dido, Queen of Carthage";"pending";"#002048 engraved eyes - fame";"Unmarked";"Unmarked";"Theatre";"";"Dialogue";"Body of text";"Local reference";"Literary and Cultural Studies";"@010029-37.
Murphy, Donna N.  The Marlowe Shakespeare Continuum: Christopher Marlowe, Thomas Nashe, and Authorship of Early Shakespeare and Anonymous Plays. Newcastle, 2013.  37.";"";"";" Heeg Stefanie"
" He shall, sir, an't please him. There's a letter for";"unedited";"Christopher Marlowe";"The Jew of Malta";"Marlowe, Christopher.  ""The Jew of Malta."" The Complete Plays. Ed. J. B. Steane. London: Penguin 1986. 341-430.  lines 1-82?";"1589";"1589";"1589";"1589";"English";"bla";"";"";"@000828 The Jew of Malta";"";"#005167 miser fondly caressing his gold";"Unmarked";"Unmarked";"Tragedy";"tbe";"Dialogue";"Body of text";"Local reference";"Annotated edition";"@010002-101.";"";"";"  Hohl Trillini Regula"
" He shall, sir, an't please him. There's a letter for";"unedited";"William Shakespeare";"Henry VI Part 2";"Shakespeare, William.  Henry VI Part 2.  Act 5, scene 1, lines 141-142.";"1591";"1591";"1591";"1591";"English";"[Edward:]<span class=""quote""> Ay, noble father, if our words will serve. <br></span>
[Richard:]<span class=""quote""> And if words will not, then our weapons shall.</span>";"";"";"@000888 Henry VI Part 2";"pending";"#002065 if words serve, if not weapons";"Unmarked";"Unmarked";"History";"";"Dialogue";"Body of text";"Local reference";"Annotated edition";"@010017-11.
Marlowe, Christopher. Edward II. Eds. H. B. Charlton and R. D. Waller. London: Methuen, 1933. 11.";"";"";" Heeg Stefanie"
" He shall, sir, an't please him. There's a letter for";"unedited";"William Shakespeare";"The First part of the Contention ";"Shakespeare, William.  The First part of the Contention betwixt the two famous Houses of Yorke and Lancaster. London: Thomas Creed for Thomas Millington, 1594.  380; scene 10, lines 380-381 [normalized spelling].";"1591";"1591";"1591";"1591";"English";"[Queen:] [...] And <span class=""quote"">long thou shalt not stay, </span>but I'll have thee repelled, <br>
Or venture to be banished myself. ";"This passage from the Quarto edition of the play generally known as <i>Henry VI Part 2 </i>does not occur in the Folio edition which is the basis of the Folger Digital Texts. ";"";"@000888a Henry VI Part 2 - The Contention";"pending";"#002066 long thou shalt not stay";"Unmarked";"Unmarked";"Theatre";"";"Dialogue";"Body of text";"Local reference";"Annotated edition";"@010017-11.
Marlowe, Christopher.  Edward II. Eds. H. B. Charlton and R. D. Waller. London: Methuen, 1933.  11.";"[Queen:] [...] And long thou shalt not staie, but ile haue thee repelde, <br>
Or venture to be banished my selfe. ";"Shakespeare, William.  The First part of the Contention betwixt the two famous Houses of Yorke and Lancaster. London: Thomas Creed for Thomas Millington, 1594.  380; scene 10, lines 380-381.";" Heeg Stefanie"
" He shall, sir, an't please him. There's a letter for";"unedited";"William Shakespeare";"Henry VI Part 2";"Shakespeare, William.  Henry VI Part 2.  Act 1, scene 3, line 80.";"1591";"1591";"1591";"1591";"English";"[Queen Margaret:] […] <span class=""quote"">She sweeps it through the court with troops of ladies</span> […].";"";"";"@000888 Henry VI Part 2";"pending";"#002068 jets, sweeps in court";"Unmarked";"Unmarked";"Theatre";"";"Dialogue";"Body of text";"Local reference";"Literary and cultural studies (Shakespeare)";"@010017-11.
Marlowe, Christopher. Edward II. Eds. H. B. Charlton and R. D. Waller. London: Methuen, 1933. 11.";"";"";" Heeg Stefanie"
" He shall, sir, an't please him. There's a letter for";"unedited";"William Shakespeare";"Henry VI Part 2";"Shakespeare, William.  Henry VI Part 2.  Act 1, scene 2, lines 66-67.";"1591";"1591";"1591";"1591";"English";"[Duchess:] […] I would remove these tedious stumbling blocks, <br>
And smooth my way upon their headless necks […].";"";"";"@000888 Henry VI Part 2";"pending";"#002070 tread on heads";"Unmarked";"Unmarked";"Theatre";"";"Dialogue";"Body of text";"Local reference";"Annotated edition";"@010017-12.
Marlowe, Christopher. Edward II. Eds. H. B. Charlton and R. D. Waller. London: Methuen, 1933. 12.";"";"";" Heeg Stefanie"
" He shall, sir, an't please him. There's a letter for";"unedited";"William Shakespeare";"Henry VI Part 2";"Shakespeare, William.  Henry VI Part 2.  Act 2, scene 3, lines 30-31.";"1591";"1591";"1591";"1591";"English";"[Queen Margaret:] I see no reason why <span class=""quote"">a king of years <br>
Should be to be protected like a child.</span>";"";"";"@000888 Henry VI Part 2";"pending";"#002074 protect like child, school boy";"Unmarked";"Unmarked";"Theatre";"";"Dialogue";"Body of text";"Local reference";"Annotated edition";"@010017-13.
Marlowe, Christopher. Edward II. Eds. H. B. Charlton and R. D. Waller. London: Methuen, 1933. 13.";"";"";" Heeg Stefanie"
" He shall, sir, an't please him. There's a letter for";"unedited";"William Shakespeare";"Henry VI Part 2";"Shakespeare, William.  Henry VI Part 2.  Act 2, scene 2, lines 150-153.";"1591";"1591";"1591";"1591";"English";"[Edward:] Helen of Greece was fairer far than thou,<br>
Although thy husband may be <span class=""quote"">Menelaus; <br>
And ne'er was Agamemnon's brother wronged </span><br>
By that false woman as this king by thee. ";"";"";"@000888 Henry VI Part 2";"pending";"#002123 Agamemnon, Menelaus";"Unmarked";"Unmarked";"Theatre";"";"Dialogue";"Body of text";"Local reference";"Pending";"";"";"";"  Hohl Trillini Regula"
" He shall, sir, an't please him. There's a letter for";"unedited";"William Shakespeare";"Richard III";"Shakespeare, William.  Richard III.  Act 4, scene 4, lines 240-245.";"1593";"1593";"1593";"1593";"English";"[Queen Elizabeth:] […] But that still use of grief makes wild grief tame,<br>
My tongue should to thy ears not name my boys<br>
Till that <span class=""quote"">my nails were anchored in thine eyes,<br></span>
And I, in such a desp'rate bay of death,<br>
Like a poor bark of sails and tackling reft,<br>
Rush all to pieces on thy rocky bosom.";"";"";"@000950 Richard III";"";"#005130 nails anchored in eyes";"Unmarked";"Unmarked";"Tragedy or History";"";"Dialogue";"Body of text";"Local reference";"Literary and cultural studies (Shakespeare)";"@0100083
Adams, Joseph Quincy, Jr. ""William Heminge and Shakespeare."" Modern Philology 12:1 (May, 1914): 51-64. ";"";"";"  Hohl Trillini Regula"
" He shall, sir, an't please him. There's a letter for";"unedited";"William Shakespeare";"Lucrece";"Shakespeare, William.  Lucrece.  Lines 407-410.";"1594";"1594";"1594";"1594";"English";"<span class=""quote"">Her breasts like ivory globes circled with blue, <br>
A pair of maiden worlds unconquerèd,<br>
Save of their lord no bearing yoke they knew, </span><br>
And him by oath they truly honorèd.";"";"";"@005555 Lucrece";"";"#002138 ivory breasts";"Unmarked";"Unmarked";"Epic and verse narrative";"";"Narrator";"Body of text";"Local reference";"Literary and cultural studies (Shakespeare)";"@010000";"";"";"  Hohl Trillini Regula"
" He shall, sir, an't please him. There's a letter for";"unedited";"William Shakespeare";"Lucrece";"Shakespeare, William.  Lucrece.  Lines 120-126.";"1594";"1594";"1594";"1594";"English";"For then is Tarquin brought unto his bed, <br>
Intending weariness with heavy sprite,<br>
For after supper long he questionèd<br>
With modest Lucrece and wore out the night.<br>
Now leaden slumber with life’s strength doth fight, <br>
And everyone to rest himself betakes,<br>
Save thieves and cares and troubled minds that wakes;";"";"";"@005555 Lucrece";"";"#005166 When all things else";"Unmarked";"Unmarked";"Epic and verse narrative";"";"Narrator";"Body of text";"Local reference";"";"";"";"";"  Hohl Trillini Regula"
" He shall, sir, an't please him. There's a letter for";"unedited";"William Shakespeare";"Romeo and Juliet";"Shakespeare, William.  Romeo and Juliet.  Act 2, scene 3, lines 37-41.";"1595";"1595";"1595";"1595";"English";"[Friar Lawrence:] <span class=""quote"">Care keeps his watch in every old man's eye,<br>
And, where care lodges, sleep will never lie;<br>
But where unbruisèd youth with unstuffed brain <br>
Doth couch his limbs, there golden sleep doth reign.</span>";"";"";"@000987 Romeo and Juliet";"";"#005167 When unbruised youth";"Unmarked";"Unmarked";"Tragedy";"";"Dialogue";"Anthology or dictionary entry";"Citation";"Literary and cultural studies (Shakespeare)";"@010013";"";"";"  Hohl Trillini Regula"
" Do not itself unkennel in one speech,";"provisional";"William Shakespeare";"The Merry Wives of Windsor";"Shakespeare, William.  The Merry Wives of Windsor.  Act 3, scene 3, line 159-161.";"1597";"1579";"1597";"1597";"English";"[Ford:] [...] Here, here, here be my keys. Ascend my
chambers. Search, seek, find out. I'll warrant we'll
<span class=""quote"">unkennel </span>the fox. ";"";"";"@001079 The Merry Wives of Windsor";"1 keyword";"#000263 unkennel";"Unmarked";"Unmarked";"Comedy";"";"Dialogue";"Body of text";"Local reference";"Annotated edition (Shakespeare)";"@010082
Shakespeare, William.  Hamlet. The Oxford Shakespeare. Ed. G. R. Hibbard. Oxford and New York: Oxford University Press, 1994.";"";"";"  Hohl Trillini Regula"
" The pith and marrow of our attribute.";"ok";"James Mabbe";"Prologue to ""The Spanish Bawd""";"Mabbe, James.  The Spanish Bawd, represented in Celestina: or the tragicke-comedy of Calisto and Melibea. Wherein is contained, besides the pleasantnesse and sweetness of the stile, many Philosophicall Sentences, and profitable Instructions necessary for the younger sort: Shewing the deceits and subtilties housed in the bosomes of false seruants, and Cunny-catching Bawds. London: J. B. to be sold by Robert Allot, 1631.  N.p.";"1598";"1598";"1598";"1598";"English";"But they for whose true pleasure it is wholy framed, reiect the story it selfe, as a vayne and idle subiect, and gather out <span class=""quote"">the pith and marrow </span>of the matter for their owne good and benefit [...].";"";"";"@001149 The Spanish Bawd";"2-word phrase";"#000339 pith and marrow";"Unmarked";"Unmarked";"Preface or dedication";"tbe";"Narrator";"Body of text";"Local reference";"Electronic fulltext database";"@010000";"";"";"Reitzer Elliot"
" He shall, sir, an't please him. There's a letter for";"unedited";"William Shakespeare";"Hamlet";"Shakespeare, William.  Hamlet.  Act 1, scene 1, lines 181-182.";"1600";"1600";"1600";"1600";"English";"[Horatio:]<span class=""quote""> But, look, the morn, in russet mantle clad, <br>
Walks o'er the dew of yon high eastward hill </span>[...].";"";"";"@001259 Hamlet";"pending";"#000257 morn over hill";"Unmarked";"Unmarked";"Tragedy";"";"Dialogue";"Body of text";"Local reference";"Literary and cultural studies (Shakespeare)";"@010000-1:113.";"";"";"  Hohl Trillini Regula"
" He shall, sir, an't please him. There's a letter for";"unedited";"William Shakespeare";"Hamlet";"Shakespeare, William.  Hamlet.  Act 1, scene 4, line 31.";"1600";"1600";"1600";"1600";"English";"[Hamlet:] [...] <span class=""quote"">Oft breaking down the pales and forts of reason </span>[...].";"";"Lord Chamberlain's (Lord Hunsdon's) Men / Globe";"@001259 Hamlet";"pending";"#000302 pales and fort of reason";"Unmarked";"Unmarked";"Tragedy";"";"Dialogue";"Body of text";"Local reference";"Literary and cultural studies (Shakespeare)";"@010052
Potts, Abbie Findlay. ""Hamlet and Gloriana’s Knights."" SQ 6.1 (Winter 1955): 31-43. ";"";"";"Reitzer Elliot"
" He shall, sir, an't please him. There's a letter for";"unedited";"William Shakespeare";"Hamlet";"Shakespeare, William.  Hamlet.  Act 1, scene 4, lines 32-33.";"1600";"1600";"1600";"1600";"English";"[Hamlet:] [...] Or by some habit that <span class=""quote"">too much o'erleavens <br></span>
The form of plausive manners [...].";"";"Lord Chamberlain's (Lord Hunsdon's) Men / Globe";"@001259 Hamlet";"1 keyword";"#001116 overleaven";"Unmarked";"Unmarked";"Tragedy";"";"Dialogue";"Body of text";"Local reference";"";"";"";"";"Reitzer Elliot"
" If it assume my noble father's person,";"provisional";"John Marston";"Antonio's Revenge";"Marston, John.  ""Antonios Revenge."" The Plays of John Marston in Three Volumes. Ed. H. Harvey Wood. Edinburgh and London: Oliver and Boyd, 1934-1939. 1:65-134.  77; act 1, scene 3.";"1600";"1600";"1600";"1600";"English";"[Antonio:] The other ghost assumed <span class=""quote"">my father's shape. Both cried, ""Revenge!""</span> [...]";"";"Ghost or Old Hamlet / Revenge";"@001271 Antonios Revenge";"motif";"#002127 ghost in fathers shape";"Unmarked";"Unmarked";"Tragicomedy";"";"Dialogue";"Body of text";"Local reference";"Literary and Cultural Studies";"@010047-109.";"";"";" Heeg Stefanie"
" He shall, sir, an't please him. There's a letter for";"unedited";"William Shakespeare";"Hamlet";"Shakespeare, William.  Hamlet.  Act 3, scene 2, line 207.";"1600";"1600";"1600";"1600";"English";"[Player Queen:] <span class=""quote"">A second time I kill my husband dead </span>[...].";"";"";"@001259 Hamlet";"";"#000091 killed 2nd husband";"Unmarked";"Unmarked";"Tragedy";"";"Dialogue";"Body of text";"Local reference";"Literary and cultural studies (Shakespeare)";"Thorn-Drury, George. ""Shakespearian Allusions."" Notes and Queries. 10.1 (16 January 1904): 44.<br>
@010111
Frost, Kate G. ""An Unreported Hamlet Allusion."" Notes and Queries 124 (1984): 220-221.";"";"";" Heeg Stefanie"
